	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_1	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_2	
0.943591	607.358	391.093	
0.945495	599.159	436.475	
0.947399	659.775	635.449	
0.949303	720.391	696.363	
0.951206	867.024	738.294	
0.95311	876.029	780.224	
0.955014	957.254	817.948	
0.956918	1176.11	855.672	
0.958822	1386.36	893.396	
0.960726	1458.98	931.12	
0.96263	1495.76	1081.02	
0.964534	1532.54	1230.92	
0.966438	1686.88	1380.82	
0.968342	1841.22	1530.71	
0.970245	2064.37	1669.39	
0.972149	2287.53	1808.08	
0.974053	2553.69	2015.79	
0.975957	2819.85	2223.5	
0.977861	3237.98	2520.09	
0.979765	3426.73	2816.67	
0.981669	3517.99	3154.68	
0.983573	3609.25	3492.69	
0.985477	3547.98	3599.01	
0.987381	3349.08	3705.33	
0.989284	3072.78	3632.18	
0.991188	2658.84	3559.02	
0.993092	2288.62	3290.85	
0.994996	2056.04	3022.69	
0.9969	1763.25	2735.54	
0.998804	1608.08	2310.33	
1.00071	1445.38	2038.71	
1.00261	1282.69	1767.09	
1.00452	1128.59	1555.87	
1.00642	974.502	1344.66	
1.00832	898.542	1169.68	
1.01023	822.582	994.704	
1.01213	712.215	924.999	
1.01404	601.848	855.295	
1.01594	484.85	673.2	
1.01784	367.853	629.167	
1.01975	322.536	631.728	
1.02165	277.22	634.29	
1.02355	141.585	575.587	
1.02546	235.331	516.884	
1.02736	311.874	458.182	
1.02927	250.787	399.479	
1.03117	189.522	344.443	
1.03307	128.257	289.408	
1.03498	161.611	303.403	
1.03688	194.966	317.397	
1.03879	172.408	225.258	
1.04069	149.851	133.119	
1.04259	127.294	160.057	
1.0445	104.736	186.995	
1.0464	122.388	202.095	
1.04831	140.04	134.359	
1.05021	157.691	76.9775	
1.05211	175.343	157.657	
1.05402	149.985	150.322	
1.05592	124.628	142.988	
1.05782	156.616	75.2518	
1.05973	188.604	7.51569	
1.06163	146.401	59.0728	
1.06354	104.199	110.63	
1.06544	127.943	93.1565	
1.06734	151.687	75.6832	
1.06925	68.627	52.1697	
1.07115	123.194	28.6562	
1.07306	130.452	5.14276	
1.07496	68.8955	-18.3707	
1.07686	101.779	29.3304	
1.07877	-2.96484	77.0314	
1.08067	-15.957	0.477844	
1.08258	39.8652	61.985	
1.08448	35.4746	87.2512	
1.08638	31.084	29.6809	
1.08829	30.9941	27.335	
1.09019	30.9043	24.989	
1.09209	9.84766	6.03265	
1.094	-11.208	-12.9238	
1.0959	0.708984	9.53809	
1.09781	81.4404	31.9999	
1.09971	110.561	35.4784	
1.10161	2.05273	38.9569	
1.10352	-10.4023	42.4354	
1.10542	-22.8564	45.9139	
1.10733	-101.841	8.99878	
1.10923	48.5557	-27.9163	
1.11113	112.936	4.19904	
1.11304	39.6855	36.3143	
1.11494	11.5957	21.8341	
1.11685	-16.4951	7.35394	
1.11875	-53.1865	-7.12628	
1.12065	-89.8789	-21.6065	
1.12256	-68.5088	-45.7941	
1.12446	-47.1387	-69.9817	
1.12637	-25.7686	-52.751	
1.12827	-4.39844	-35.5204	
1.13017	15.5381	-20.0156	
1.13208	35.4746	-4.51068	
1.13398	-1.93457	-49.4073	
1.13588	-39.3438	-94.3041	
1.13779	-63.1328	-142.679	
1.13969	-86.9219	-52.9937	
1.1416	-53.3662	-40.9673	
1.1435	-19.8105	-28.941	
