	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_1	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_2	
2.1716	-55.4717	27.7934	
2.17351	-132.687	-70.7637	
2.17541	-95.21	-31.2599	
2.17732	-44.8311	-9.01385	
2.17922	5.54687	13.2323	
2.18112	-48.7295	69.1307	
2.18303	-34.1914	125.029	
2.18493	10.4531	134.332	
2.18684	-59.5937	5.57422	
2.18874	-93.4404	-14.5686	
2.19064	-58.4736	-34.7115	
2.19255	-26.373	-63.4831	
2.19445	-63.0879	-92.2548	
2.19636	-154.28	-40.7786	
2.19826	-176.658	10.6976	
2.20016	-100.116	-6.85663	
2.20207	-23.5732	-24.4108	
2.20397	50.5049	-18.3707	
2.20588	9.89258	-12.3305	
2.20778	-23.5508	-47.7086	
2.20968	-56.9951	-83.0867	
2.21159	-51.7305	-79.6351	
2.21349	-46.4668	-76.1836	
2.21539	-79.9102	-181.455	
2.2173	-44.54	-93.4412	
2.2192	-56.4795	-67.1234	
2.22111	-68.4189	-40.8055	
2.22301	-71.7568	-43.8256	
2.22491	-75.0947	-46.8457	
2.22682	-154.414	-73.1635	
2.22872	-164.92	-99.4814	
2.23063	-247.107	-56.7688	
2.23253	-168.729	-14.0563	
2.23443	-114.184	-43.3942	
2.23634	-59.6377	-72.7321	
2.23824	-98.2793	-60.6518	
2.24015	-136.92	-48.5715	
2.24205	-85.959	-65.829	
2.24395	-34.998	-83.0867	
2.24586	-22.7441	-58.926	
2.24776	-10.4912	-34.7654	
2.24966	20.04	-20.0964	
2.25157	-18.2422	-5.42749	
2.25347	-103.834	50.6597	
2.25538	-28.8604	106.747	
2.25728	-13.3809	91.6465	
2.25918	70.9121	76.5461	
2.26109	46.249	61.4457	
2.26299	21.5859	46.3453	
2.2649	46.8311	50.39	
2.2668	72.0762	54.4348	
2.2687	191.941	79.1887	
2.27061	197.116	103.943	
2.27251	202.291	25.5823	
2.27442	138.65	-52.778	
2.27632	49.2061	-127.687	
2.27822	-40.2393	-36.9226	
2.28013	-26.1045	-57.0385	
2.28203	-11.9697	-77.1544	
2.28393	-32.2422	-221.525	
2.28584	-52.5146	-200.223	
2.28774	-53.4336	-119.382	
2.28965	-54.3516	-38.5405	
2.29155	-55.2705	-88.8572	
2.29345	-56.1885	-139.174	
2.29536	-57.4648	-179.81	
2.29726	-58.7422	-54.7734	
2.29917	-2.67383	-22.9277	
2.30107	53.3945	8.91791	
2.30297	48.5342	-8.42059	
2.30488	43.6729	-25.7591	
2.30678	38.8115	-84.5158	
2.30869	33.9512	-143.273	
2.31059	33.2119	-63.9684	
2.31249	32.4727	15.3356	
2.3144	77.6094	-29.6151	
2.3163	53.9326	-74.5657	
2.31821	-57.1963	-51.7803	
2.32011	-53.6348	-28.9949	
2.32201	-110.285	-120.11	
2.32392	-6.37012	-45.5514	
2.32582	72.7266	20.1353	
2.32772	83.0078	85.822	
2.32963	-54.374	92.8329	
2.33153	14.6865	99.8438	
2.33344	17.083	28.7641	
2.33534	19.4805	-42.3156	
2.33724	0.373047	-6.39825	
2.33915	-18.7354	29.5192	
2.34105	-34.9756	-81.0373	
2.34296	-51.2158	-25.9209	
2.34486	-67.4561	5.03491	
2.34676	-83.6963	35.9907	
2.34867	-72.6973	37.6086	
2.35057	-61.6992	39.2266	
2.35248	29.583	-0.573792	
2.35438	120.865	-40.3741	
2.35628	93.5137	10.7784	
2.35819	66.1631	61.931	
2.36009	-25.7012	16.4411	
2.36199	-2.875	-29.0488	
2.3639	-35.9609	3.12042	
2.3658	-69.0459	35.2897	
2.36771	-23.2822	26.0406	
2.36961	-92.208	16.7917	
2.37151	-139.093	-16.8337	
2.37342	-71.2861	-50.459	
2.37532	28.0596	-42.6661	
2.37723	12.7158	-34.8732	
2.37913	-64.9922	-47.7895	
2.38103	-73.8848	-60.7057	
2.38294	-71.3086	-32.2037	
2.38484	-68.7324	-3.70172	
2.38675	-25.7012	-11.6295	
2.38865	17.3301	-19.5571	
2.39055	3.01563	-68.9031	
2.39246	-11.2979	-118.249	
2.39436	28.8662	-92.5244	
2.39626	69.0303	-66.7998	
2.39817	-16.9648	-41.0752	
2.40007	-34.1465	-15.3506	
2.40198	52.252	-102.879	
2.40388	23.96	-190.407	
2.40578	34.377	-98.4567	
2.40769	44.793	-6.5061	
2.40959	30.1201	-45.2817	
2.4115	84.2627	-84.0574	
2.4134	53.8203	-53.8027	
2.4153	92.1924	-23.548	
2.41721	180.562	15.6591	
2.41911	154.241	54.8662	
2.42102	274.151	73.3642	
2.42292	325.247	91.8622	
2.42482	330.466	133.658	
2.42673	404.5	175.454	
2.42863	478.533	196.54	
2.43054	483.752	217.627	
2.43244	458.148	323.06	
2.43434	501.359	428.493	
2.43625	604.782	464.896	
2.43815	593.515	501.299	
2.44005	481.894	554.527	
2.44196	439.086	607.756	
2.44386	350.402	591.955	
2.44577	261.719	576.153	
2.44767	247.158	432.376	
2.44957	232.599	288.599	
2.45148	183.631	241.464	
2.45338	134.663	194.329	
2.45529	67.0586	159.706	
2.45719	-0.545898	125.083	
2.45909	-52.3799	90.46	
2.461	10.4756	55.837	
2.4629	8.63867	35.8829	
2.46481	6.80176	15.9288	
2.46671	12.1328	-24.7344	
2.46861	17.4639	-65.3976	
2.47052	-28.0986	-86.646	
2.47242	-73.6611	-107.894	
2.47432	-38.9404	-98.0792	
2.47623	-4.21973	-88.2639	
2.47813	-1.39648	-0.250183	
2.48004	1.42578	-77.9094	
2.48194	-30.1592	-62.3776	
2.48384	-61.7441	-46.8457	
2.48575	-22.3633	-11.4677	
2.48765	17.0166	23.9104	
2.48956	56.3965	-64.9662	
2.49146	95.7764	-153.843	
2.49336	18.8535	-147.803	
2.49527	-58.0703	-141.762	
2.49717	39.9092	-94.3041	
2.49908	23.1992	-46.8457	
2.50098	-25.0518	5.78998	
2.50288	41.3877	58.4256	
2.50479	83.4561	69.6431	
2.50669	56.71	80.8605	
2.50859	-62.3486	38.7411	
2.5105	-43.7783	-3.37817	
2.5124	-63.917	-4.07922	
2.51431	-84.0547	-4.78033	
2.51621	-142.9	12.639	
2.51811	-64.1182	30.0584	
2.52002	-62.752	-49.1647	
2.52192	-61.3857	-128.388	
2.52383	-19.1602	-70.4131	
2.52573	23.0645	-12.4384	
2.52763	16.5459	36.9075	
2.52954	10.0273	86.2535	
2.53144	94.5439	141.64	
2.53335	-50.3193	58.9649	
2.53525	14.127	12.5312	
2.53715	78.5732	-33.9025	
2.53906	26.7158	-9.90369	
2.54096	-25.1416	14.0952	
2.54287	3.28516	-3.32422	
2.54477	31.7109	-20.7436	
2.54667	24.2969	-13.5709	
2.54858	16.8818	-6.39825	
2.55048	-102.355	35.2897	
2.55238	-83.9648	-5.85895	
2.55429	-17.5479	-121.539	
2.55619	48.8701	-99.1578	
2.5581	20.668	-81.9541	
2.56	-7.53418	18.086	
2.5619	-2.76367	-25.5433	
2.56381	2.00781	-69.1727	
2.56571	-27.6279	-66.2065	
2.56762	-57.2637	-63.2404	
2.56952	-21.5127	-32.4464	
2.57142	14.2383	-1.6524	
2.57333	24.1846	-67.5009	
2.57523	34.1299	-133.349	
2.57714	-44.8086	-74.9432	
2.57904	13.8799	-16.537	
2.58094	-4.84668	-27.1613	
2.58285	-23.5732	-37.7855	
2.58475	-5.56348	-7.31506	
2.58665	12.4463	23.1554	
2.58856	30.457	12.2076	
2.59046	48.4668	1.25983	
2.59237	40.6709	-21.7682	
2.59427	32.876	-44.7964	
2.59617	-9.32715	-26.4063	
2.59808	-51.5293	-8.01611	
2.59998	-3.9502	24.1801	
2.60189	43.6279	56.3763	
2.60379	10.9238	-35.6822	
2.60569	-21.7812	-127.741	
2.6076	-20.0791	-116.254	
2.6095	-18.376	-104.766	
2.61141	17.7334	-24.249	
2.61331	53.8428	56.2684	
2.61521	15.4033	68.187	
2.61712	-23.0361	80.1055	
2.61902	-27.0674	50.6058	
2.62092	-31.0996	21.1061	
2.62283	-66.6719	20.0814	
2.62473	-102.244	19.0567	
2.62664	-134.948	-50.9983	
2.62854	-30.0244	-121.053	
2.63044	-0.0078125	-116.2	
2.63235	30.0088	-111.346	
2.63425	42.8213	-106.492	
2.63616	-81.9941	-101.639	
2.63806	-74.915	-79.0958	
2.63996	-67.8369	-56.5531	
2.64187	-34.9531	-80.6059	
2.64377	-2.06934	-104.659	
2.64568	-18.8242	-35.089	
2.64758	-35.5801	-48.3558	
2.64948	-17.9287	-113.395	
2.65139	-0.277344	-40.3741	
2.65329	19.5254	-80.8216	
2.6552	39.3271	-121.269	
2.6571	59.1289	-34.0104	
2.659	78.9316	-84.8124	
2.66091	51.4238	-93.4412	
2.66281	23.916	-102.07	
2.66471	30.8154	-77.9094	
2.66662	37.7139	-53.7487	
2.66852	71.1357	-72.3007	
2.67043	104.558	-90.8525	
2.67233	11.8193	-67.9863	
2.67423	-80.9189	-45.1199	
2.67614	-84.7715	-67.7705	
2.67804	-88.624	-90.4211	
2.67995	-35.1318	-92.3626	
2.68185	18.3604	-94.3041	
2.68375	3.75488	-76.8307	
2.68566	-10.8496	-59.3575	
2.68756	-68.4639	-41.8842	
2.68947	11.5508	-24.4108	
2.69137	16.7031	-23.2513	
2.69327	21.8545	-22.0919	
2.69518	35.6084	-62.3506	
2.69708	49.3623	-102.609	
2.69898	3.62109	-62.6202	
2.70089	-42.1211	-22.6312	
2.70279	-53.4561	53.5989	
2.7047	-64.79	-8.23187	
2.7066	-42.2549	-47.6277	
2.7085	-19.7207	-87.0236	
2.71041	-31.5928	-66.0178	
2.71231	-43.4648	-45.0121	
2.71422	-23.0801	-31.7723	
2.71612	-2.69629	-18.5325	
2.71802	103.706	-5.29266	
2.71993	72.4795	7.94714	
2.72183	-18.6006	6.1944	
2.72374	27.9473	4.44171	
2.72564	22.8848	-33.5519	
2.72754	17.8223	66.5151	
2.72945	-21.6465	88.0601	
2.73135	-61.1162	109.605	
2.73325	-43.2412	15.5243	
2.73516	-25.3652	-78.5565	
2.73706	-20.751	-74.7006	
2.73897	-16.1367	-70.8445	
2.74087	-11.5215	-108.407	
2.74277	-6.90723	-145.969	
2.74468	-0.859375	-109.324	
2.74658	5.18848	-72.6782	
2.74849	11.2373	-82.6282	
2.75039	17.2852	-92.5783	
2.75229	33.167	-36.4642	
2.7542	49.0488	-63.1865	
2.7561	-16.7861	-131.327	
2.75801	-13.8066	-116.631	
2.75991	44.3672	-103.661	
2.76181	-35.0869	-90.6908	
