	TE_20210720.3.ser\n54_dB_-_100_mM_TCE_w_20_%_naphthalene_in_CDCl3_1	TE_20210720.3.ser\n54_dB_-_100_mM_TCE_w_20_%_naphthalene_in_CDCl3_2	
4.94939	-79.127	61.5654	
4.9513	-104.789	66.6956	
4.9532	-93.9687	15.8497	
4.9551	-83.1504	-34.9961	
4.95701	-72.3301	-40.6849	
4.95891	-61.5098	-46.3736	
4.96082	4.39258	-13.9611	
4.96272	70.293	18.4515	
4.96462	78.9668	5.707	
4.96653	87.6406	-7.03754	
4.96843	92.7383	16.9081	
4.97033	97.834	40.8537	
4.97224	68.5957	64.7993	
4.97414	39.3555	88.7449	
4.97605	45.3008	87.0545	
4.97795	51.248	85.364	
4.97985	-0.0351563	38.5164	
4.98176	-51.3164	-8.33112	
4.98366	1.12695	49.2471	
4.98557	53.5723	106.825	
4.98747	25.8965	119.247	
4.98937	-1.77734	131.668	
4.99128	18.832	156.319	
4.99318	39.4434	180.97	
4.99509	60.0547	160.464	
4.99699	80.666	139.958	
4.99889	44.7637	108.163	
5.0008	8.86328	76.3679	
5.0027	130.338	89.7298	
5.0046	114.467	103.092	
5.00651	77.5371	48.718	
5.00841	40.6074	-5.65579	
5.01032	29.4297	-14.8724	
5.01222	18.252	-24.0891	
5.01412	7.07422	-29.5426	
5.01603	-4.10352	-34.9961	
5.01793	10.4727	34.8122	
5.01984	25.0469	104.62	
5.02174	117.238	94.463	
5.02364	72.082	84.3056	
5.02555	1.17187	149.41	
5.02745	-69.7363	214.515	
5.02936	-60.5273	130.036	
5.03126	-51.3164	45.5576	
5.03316	-42.1055	6.23618	
5.03507	-32.8965	-33.0852	
5.03697	-14.834	-16.7834	
5.03888	3.22852	-0.481537	
5.04078	21.291	15.8203	
5.04268	39.3555	32.1221	
5.04459	13.0645	-37.1864	
5.04649	-13.2246	-106.495	
5.04839	-5.17578	-100.542	
5.0503	2.87109	-94.5882	
5.0522	-24.8477	-16.0778	
5.05411	-52.5684	62.4327	
5.05601	-31.6445	65.6813	
5.05791	-10.7207	68.9299	
5.05982	82.4551	77.8231	
5.06172	38.2813	86.7164	
5.06363	71.3672	95.6096	
5.06553	104.451	104.503	
5.06743	124.705	92.2434	
5.06934	144.959	79.984	
5.07124	107.984	67.7245	
5.07315	71.0098	55.4651	
5.07505	83.3945	44.1464	
5.07695	95.7773	32.8277	
5.07886	108.162	21.509	
5.08076	120.547	10.1904	
5.08266	141.695	51.9078	
5.08457	162.842	93.6252	
5.08647	183.99	60.0807	
5.08838	205.139	26.5363	
5.09028	252.039	21.2151	
5.09218	298.939	15.8938	
5.09409	311.502	10.5725	
5.09599	324.066	5.25131	
5.0979	339.67	10.2786	
5.0998	355.273	15.3058	
5.1017	336.539	95.5949	
5.10361	317.807	175.884	
5.10551	290.488	178.559	
5.10742	263.172	181.235	
5.10932	293.082	229.067	
5.11122	322.992	276.9	
5.11313	354.871	290.864	
5.11503	386.748	304.829	
